domain,source_url,program_type,platform,contact_email,rewards_mentioned,reward_details,scope_summary,notes
mergr.com,https://mergr.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
merrittadvisory.com,https://merrittadvisory.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
metergrid.de,https://metergrid.de,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mikfs.com,https://mikfs.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
milenow.com,https://milenow.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
miracleplus.com,https://miracleplus.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Error: 'utf-8' codec can't decode byte 0x8b in position 1: invalid start byte
mistywest.com,https://mistywest.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
modelmatch.com,https://modelmatch.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
modrek.ai,https://modrek.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mongodb.com,https://mongodb.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
morepaymentevolution.com,https://morepaymentevolution.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
movingimage.my,https://movingimage.my,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mprofit.in,https://mprofit.in,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mtc.co.uk,https://mtc.co.uk,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mycma.com,https://mycma.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mynyfy.com,https://mynyfy.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
myvert.com,https://myvert.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
nachonacho.com,https://nachonacho.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
nautipark.com,https://nautipark.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
ncino.com,https://ncino.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
nell.ai,https://nell.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
netnut.io,https://netnut.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
nevermisshq.com,https://nevermisshq.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
newprojectmedia.com,https://newprojectmedia.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
nextmotion.net,https://nextmotion.net,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
niftypm.com,https://niftypm.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
nilehq.com,https://nilehq.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
nim.video,https://nim.video,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
nobleblocks.com,https://nobleblocks.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
northbeam.io,https://northbeam.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
northwestregisteredagent.com,https://northwestregisteredagent.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
ocoya.com,https://ocoya.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
octus.com,https://octus.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
ohiolegalhelp.org,https://ohiolegalhelp.org,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
1-commerce.com,https://1-commerce.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
1688.com,https://1688.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
1984.vc,https://1984.vc,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
1fit.app,https://1fit.app,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
a-leads.co,https://a-leads.co,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
abda.ai,https://abda.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
abenex.com,https://abenex.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
academypl.us,https://academypl.us,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
acctual.com,https://acctual.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
act.security,https://act.security,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
actioneer.com,https://actioneer.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
actirise.com,https://actirise.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
addcomposites.com,https://addcomposites.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
